Concentration (mM),Annealing T,Molecular Weight,# C atom,# H atom,# Br atom,# I atom,# N atom,# H-bond Donor,# Rotatable Bond,Top. Polar Surface Area,# Heavy Atom,Complexity,Partition Coeff.
5,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1
10,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1
15,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1
5,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
10,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
15,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
5,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
10,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
15,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
5,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
10,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
15,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
5,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
10,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
15,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1
5,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
10,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
15,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
5,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
10,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
15,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
5,100,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
10,100,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
15,100,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
5,125,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
10,125,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
15,125,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3
5,50,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
10,50,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
15,50,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
5,75,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
10,75,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
15,75,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
5,100,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
10,100,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
15,100,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
5,125,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
10,125,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
15,125,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3
10,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
5,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
10,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
15,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
5,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
10,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
15,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
5,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
10,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
15,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
5,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
10,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
15,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2
10,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
5,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
10,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
15,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
5,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
10,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
15,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
5,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
10,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
15,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
5,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
10,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
15,125,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3
10,100,171.969,1,5,0,1,2,2,0,51.6,4,7.5,-0.8
10,100,186.984,1,6,0,1,3,3,0,77.6,5,18.8,-1.3
10,100,195.991,3,5,0,1,2,2,0,28.7,6,28.1,0.2
10,100,187.024,3,10,0,1,1,2,0,26,5,10.8,0.1
5,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1
10,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1
15,100,210.159,8,20,1,0,1,1,6,27.6,10,43.8,3.1
5,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
10,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
15,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
5,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
10,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
15,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
5,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
10,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
15,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
5,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
10,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
15,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
5,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
10,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
15,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1
5,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
5,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
5,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
5,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
10,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
10,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
10,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
10,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
15,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
15,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
15,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
15,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4
5,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9
10,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9
15,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9
5,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9
10,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9
15,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9
5,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
15,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9
5,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
5,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3
15,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3
10,100,210.051,4,12,0,1,1,1,0,27.6,6,25.1,0.3
5,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3
15,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3
5,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3
15,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3
5,100,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,100,369.375,16,36,0,1,1,0,12,0,18,116,5.3
15,100,369.375,16,36,0,1,1,0,12,0,18,116,5.3
5,125,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,125,369.375,16,36,0,1,1,0,12,0,18,116,5.3
15,125,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3
5,100,369.375,16,36,0,1,1,0,12,0,18,116,5.3
10,100,369.375,16,36,0,1,1,0,12,0,18,116,5.3
