compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
BzABr,5,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1,1.488,-12.0704,8.1118,175.05,1.5468,-6.8205,4.4095,170.05,20190530
BzABr,10,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1,1.365,-111.6,81.7582,200.0667,1.4775,-119.0275,80.5601,210.0667,20190530
BzABr,15,100,188.068,7,10,1,0,1,1,1,27.6,9,55.4,1.1,1.444,-189.5344,131.2565,225.0667,1.3555,-169.573,125.1,235.0833,20190530
BzAI,5,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.7745,-177.18,99.843,168.13,1.5573,-150.88,96.886,174.13,20190805
BzAI,10,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.1408,-180.97,158.64,255.18,1.0683,-167.87,157.13,252.18,20190805
BzAI,15,50,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.93657,-89.237,95.281,204.15,1.0985,-111.72,101.7,210.15,20190805
BzAI,5,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.48589,-41.542,85.498,270.2,0.53417,-42.85,80.218,279.2,20190805
BzAI,10,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.0378,-108.32,104.37,225.17,1.1274,-125.54,111.35,225.17,20190805
BzAI,15,75,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.1746,-76.584,65.202,159.12,1.5144,-105.85,69.898,156.12,20190805
BzAI,5,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.67747,-80.804,119.27,249.18,0.93422,-125.14,133.96,246.18,20190805
BzAI,10,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.7243,-34.968,48.277,216.17,0.91896,-49.992,54.4,219.17,20190805
BzAI,15,100,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.3309,-127.84,96.055,183.13,1.5658,-156.49,99.945,180.13,20190805
BzAI,5,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.72091,-36.264,50.303,180.13,0.72372,-32.413,44.787,171.13,20190805
BzAI,10,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,0.73034,-3.3581,4.598,129.1,0.87319,-10.076,11.539,117.08,20190805
BzAI,15,125,235.07,7,10,0,1,1,1,1,27.6,9,55.4,1.1,1.3209,-64.496,48.827,144.12,1.0967,-41.604,37.936,132.1,20190805
DABr,5,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,3.1,-383.09,123.58,171.15,5.6306,-724.64,128.7,168.15,20190709
DABr,10,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,1.666,-170.7,102.46,153.13,1.898,-188.27,99.194,156.13,20190709
DABr,15,50,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,2.3408,-282.94,120.87,165.15,2.4673,-318.37,129.03,165.15,20190709
DABr,5,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,0.49558,-12.864,25.958,174.15,0.45867,-8.801,19.188,174.15,20190709
DABr,10,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,0.94898,-71.283,75.115,165.15,1.4551,-134.26,92.266,162.15,20190709
DABr,15,75,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,0.82245,-60.35,73.378,180.17,0.49347,-23.44,47.501,177.17,20190709
DABr,5,100,266.26,12,28,1,0,1,1,10,27.6,14,81.2,5.3,1.4551,-177.99,122.32,192.17,1.7082,-209.48,122.63,192.17,20190709
